name,np_goals_90,npxg_90,assists_90,xA_90,minutes,total_points,goals_scored,assists,position,cost,x_attacking_points_90,x_attack_value,Expected Value Above Average
Granit Xhaka,0.04,0.05,0.08,0.09,2327,60,1,2,Midfielder,5.0,0.52,0.1,-0.1
Thomas Partey,0.09,0.11,0.04,0.06,2027,71,2,2,Midfielder,5.0,0.73,0.15,-0.05000000000000002
Kieran Tierney,0.05,0.03,0.14,0.09,1916,106,1,3,Defender,5.0,0.45,0.09,0.0
Eddie Nketiah,0.54,0.5,0.11,0.15,823,55,5,1,Forward,7.0,2.45,0.35,0.08999999999999997
Emile Smith Rowe,0.47,0.27,0.09,0.1,1909,125,10,2,Midfielder,6.0,1.6500000000000001,0.28,0.08000000000000002
Bukayo Saka,0.27,0.25,0.21,0.21,2978,179,11,9,Midfielder,8.0,1.88,0.24,0.03999999999999998
Takehiro Tomiyasu,0.0,0.04,0.05,0.03,1680,75,0,1,Defender,4.5,0.32999999999999996,0.07,-0.01999999999999999
Gabriel dos Santos Magalhaes,0.15,0.08,0.0,0.02,3063,146,5,0,Defender,5.0,0.54,0.11,0.020000000000000004
Gabriel Martinelli Silva,0.24,0.31,0.29,0.16,1855,110,6,7,Midfielder,6.0,2.0300000000000002,0.34,0.14
Gabriel Fernando de Jesus,0.44,0.44,0.36,0.23,1871,120,8,8,Forward,8.0,2.45,0.31,0.04999999999999999
Philippe Coutinho Correia,0.28,0.27,0.14,0.16,1327,83,5,3,Midfielder,7.0,1.83,0.26,0.06
Danny Ings,0.28,0.31,0.28,0.09,1891,106,7,6,Forward,7.0,1.51,0.22,-0.04000000000000001
Lucas Digne,0.0,0.04,0.15,0.14,2440,83,0,4,Defender,5.0,0.66,0.13,0.04000000000000001
John McGinn,0.09,0.04,0.12,0.14,3090,110,3,4,Midfielder,5.5,0.6200000000000001,0.11,-0.09000000000000001
Tyrone Mings,0.03,0.04,0.08,0.04,3188,118,1,4,Defender,4.5,0.36,0.08,-0.009999999999999995
Ollie Watkins,0.3,0.35,0.06,0.09,2950,131,11,3,Forward,7.5,1.67,0.22,-0.04000000000000001
Emiliano Buendia Stati,0.19,0.15,0.28,0.26,1887,107,4,6,Midfielder,6.0,1.53,0.26,0.06
Matty Cash,0.11,0.06,0.08,0.05,3377,147,4,3,Defender,5.0,0.51,0.1,0.010000000000000009
Ezri Konsa Ngoyo,0.07,0.05,0.0,0.01,2477,78,2,0,Defender,4.5,0.33000000000000007,0.07,-0.01999999999999999
Douglas Luiz Soares de Paulo,0.07,0.07,0.1,0.08,2715,89,2,3,Midfielder,5.0,0.5900000000000001,0.12,-0.08000000000000002
Jacob Ramsey,0.22,0.14,0.04,0.07,2465,109,6,1,Midfielder,5.5,0.9100000000000001,0.17,-0.03
Pontus Jansson,0.08,0.08,0.03,0.01,3321,122,3,4,Defender,4.5,0.51,0.11,0.020000000000000004
Ivan Toney,0.22,0.25,0.15,0.18,2908,139,12,5,Forward,7.0,1.54,0.22,-0.04000000000000001
Sergi Canos Tenes,0.13,0.13,0.09,0.08,2077,81,3,3,Defender,5.0,1.02,0.2,0.11000000000000001
Kristoffer Ajer,0.05,0.04,0.14,0.06,1995,81,1,3,Defender,4.5,0.42,0.09,0.0
Rico Henry,0.1,0.06,0.0,0.06,2775,108,3,0,Defender,4.5,0.54,0.12,0.03
Vitaly Janelt,0.16,0.1,0.0,0.09,2295,90,4,0,Midfielder,5.5,0.77,0.14,-0.06
Mathias Jensen,0.0,0.14,0.06,0.2,1590,54,0,1,Midfielder,5.0,1.3000000000000003,0.26,0.06
Yoane Wissa,0.49,0.26,0.07,0.05,1268,92,7,2,Midfielder,5.5,1.4500000000000002,0.26,0.06
Ethan Pinnock,0.03,0.05,0.03,0.04,2694,90,1,1,Defender,4.5,0.42000000000000004,0.09,0.0
Bryan Mbeumo,0.09,0.28,0.22,0.11,2905,119,4,7,Forward,6.0,1.4500000000000002,0.24,-0.020000000000000018
Danny Welbeck,0.37,0.37,0.12,0.06,1469,89,6,4,Forward,6.5,1.66,0.26,0.0
Pascal Gro,0.09,0.1,0.18,0.23,2033,88,2,5,Midfielder,5.5,1.19,0.22,0.01999999999999999
Lewis Dunk,0.04,0.04,0.0,0.01,2573,92,1,0,Defender,4.5,0.27,0.06,-0.03
Solly March,0.0,0.08,0.1,0.14,1733,61,0,2,Midfielder,5.0,0.8200000000000001,0.16,-0.04000000000000001
Adam Webster,0.13,0.07,0.0,0.01,1429,59,2,0,Defender,4.5,0.45000000000000007,0.1,0.010000000000000009
Joel Veltman,0.03,0.03,0.03,0.03,2874,95,1,1,Defender,4.5,0.27,0.06,-0.03
Neal Maupay,0.28,0.25,0.08,0.09,2269,98,8,3,Forward,6.5,1.27,0.2,-0.06
Leandro Trossard,0.22,0.19,0.1,0.13,2803,141,8,4,Midfielder,6.5,1.3399999999999999,0.21,0.009999999999999981
Tariq Lamptey,0.0,0.05,0.12,0.13,1547,74,0,2,Defender,4.5,0.6900000000000001,0.15,0.06
Alexis Mac Allister,0.13,0.18,0.08,0.06,2112,93,5,2,Midfielder,5.5,1.0799999999999998,0.2,0.0
Jakub Moder,0.0,0.13,0.16,0.09,1694,58,0,3,Midfielder,4.5,0.92,0.2,0.0
Enock Mwepu,0.18,0.17,0.36,0.13,990,58,2,5,Midfielder,5.5,1.2400000000000002,0.23,0.03
Cesar Azpilicueta,0.07,0.05,0.1,0.09,2067,87,1,3,Defender,5.0,0.5700000000000001,0.11,0.020000000000000004
Thiago Emiliano da Silva,0.08,0.03,0.03,0.01,2649,130,3,1,Defender,5.5,0.21,0.04,-0.049999999999999996
Marcos Alonso,0.13,0.14,0.13,0.18,2164,128,4,5,Defender,5.5,1.3800000000000001,0.25,0.16
Jorge Luiz Frello Filho,0.0,0.02,0.1,0.11,2271,106,6,2,Midfielder,6.0,0.43000000000000005,0.07,-0.13
Mateo Kovacic,0.09,0.09,0.23,0.18,1552,76,2,5,Midfielder,5.0,0.99,0.2,0.0
N'Golo Kante,0.08,0.08,0.2,0.14,1769,79,2,5,Midfielder,5.0,0.8200000000000001,0.16,-0.04000000000000001
Hakim Ziyech,0.26,0.27,0.26,0.25,1311,79,4,3,Midfielder,6.0,2.1,0.35,0.14999999999999997
Ruben Loftus-Cheek,0.0,0.08,0.15,0.15,1384,52,0,3,Midfielder,5.0,0.85,0.17,-0.03
Timo Werner,0.47,0.58,0.18,0.11,1278,62,4,2,Forward,8.0,2.65,0.33,0.07
Ben Chilwell,0.37,0.21,0.12,0.14,541,55,3,1,Defender,6.0,1.6800000000000002,0.28,0.19000000000000003
Christian Pulisic,0.43,0.33,0.16,0.09,1282,77,6,2,Midfielder,6.0,1.9200000000000002,0.32,0.12
Trevoh Chalobah,0.22,0.08,0.06,0.01,1447,99,3,1,Defender,5.0,0.51,0.1,0.010000000000000009
Mason Mount,0.34,0.28,0.37,0.24,2358,169,11,11,Midfielder,8.0,2.12,0.26,0.06
Kai Havertz,0.4,0.44,0.11,0.1,1802,112,8,4,Forward,8.0,2.06,0.26,0.0
Reece James,0.23,0.12,0.34,0.24,1863,141,5,9,Defender,6.0,1.44,0.24,0.15
Conor Gallagher,0.25,0.18,0.09,0.11,2843,140,8,6,Midfielder,6.0,1.23,0.2,0.0
James McArthur,0.0,0.02,0.19,0.06,1434,54,0,4,Midfielder,5.0,0.28,0.06,-0.14
Christian Benteke,0.31,0.42,0.08,0.09,1132,58,4,1,Forward,5.5,1.95,0.35,0.08999999999999997
Joel Ward,0.0,0.01,0.0,0.02,2486,73,0,0,Defender,4.5,0.12,0.03,-0.06
Nathaniel Clyne,0.0,0.01,0.07,0.03,1351,59,0,1,Defender,4.5,0.15,0.03,-0.06
Jordan Ayew,0.13,0.16,0.13,0.1,2012,77,3,4,Midfielder,5.5,1.1,0.2,0.0
Wilfried Zaha,0.29,0.13,0.03,0.16,2759,150,14,2,Midfielder,7.0,1.13,0.16,-0.04000000000000001
Jeffrey Schlupp,0.19,0.15,0.05,0.09,1840,86,4,2,Midfielder,5.0,1.02,0.2,0.0
Joachim Andersen,0.0,0.02,0.09,0.06,2914,124,0,4,Defender,4.5,0.3,0.07,-0.01999999999999999
Odsonne Edouard,0.29,0.35,0.17,0.13,1554,87,6,4,Forward,5.5,1.79,0.33,0.07
Marc Guehi,0.06,0.05,0.03,0.01,3222,123,2,1,Defender,4.5,0.33000000000000007,0.07,-0.01999999999999999
Jean-Philippe Mateta,0.39,0.43,0.08,0.1,1138,61,5,1,Forward,5.5,2.02,0.37,0.10999999999999999
Tyrick Mitchell,0.0,0.01,0.06,0.04,3101,109,0,2,Defender,4.5,0.18,0.04,-0.049999999999999996
Michael Olise,0.16,0.11,0.39,0.27,1127,73,2,6,Midfielder,5.5,1.36,0.25,0.04999999999999999
Seamus Coleman,0.03,0.03,0.0,0.04,2656,79,1,1,Defender,4.5,0.3,0.07,-0.01999999999999999
Andros Townsend,0.12,0.09,0.12,0.15,1452,66,3,2,Midfielder,5.5,0.8999999999999999,0.16,-0.04000000000000001
Michael Keane,0.1,0.04,0.06,0.02,2791,102,3,2,Defender,4.5,0.3,0.07,-0.01999999999999999
Allan Marques Loureiro,0.0,0.01,0.08,0.04,2181,58,0,3,Midfielder,5.0,0.16999999999999998,0.03,-0.17
Abdoulaye Doucoure,0.07,0.1,0.14,0.08,2536,90,2,5,Midfielder,5.5,0.74,0.13,-0.07
Alex Iwobi,0.09,0.08,0.09,0.12,2029,78,2,2,Midfielder,5.5,0.76,0.14,-0.06
Demarai Gray,0.19,0.17,0.15,0.17,2336,106,5,5,Midfielder,5.5,1.36,0.25,0.04999999999999999
Dominic Calvert-Lewin,0.21,0.32,0.14,0.13,1281,64,5,2,Forward,8.0,1.67,0.21,-0.05000000000000002
Mason Holgate,0.08,0.05,0.04,0.0,2133,62,2,2,Defender,4.5,0.30000000000000004,0.07,-0.01999999999999999
Anthony Gordon,0.16,0.13,0.08,0.13,2277,100,4,3,Midfielder,5.5,1.04,0.19,-0.010000000000000009
James Tarkowski,0.03,0.06,0.06,0.02,3106,83,1,2,Defender,4.5,0.42,0.09,0.0
Jamie Vardy,0.7,0.46,0.09,0.07,1801,133,15,3,Forward,9.5,2.0500000000000003,0.22,-0.04000000000000001
Daniel Amartey,0.04,0.01,0.0,0.01,2118,55,0,0,Defender,4.5,0.09,0.02,-0.06999999999999999
Timothy Castagne,0.03,0.04,0.0,0.06,2124,75,1,0,Defender,4.5,0.42,0.09,0.0
Youri Tielemans,0.12,0.1,0.15,0.16,2629,120,6,4,Midfielder,6.5,0.98,0.15,-0.05000000000000002
James Maddison,0.43,0.32,0.33,0.2,2454,181,12,11,Midfielder,8.0,2.2,0.28,0.08000000000000002
Kelechi Iheanacho,0.23,0.25,0.47,0.25,1253,80,4,6,Forward,6.5,1.75,0.27,0.010000000000000009
Harvey Barnes,0.27,0.29,0.45,0.16,2095,137,6,12,Midfielder,7.0,1.93,0.28,0.08000000000000002
Kiernan Dewsbury-Hall,0.08,0.07,0.12,0.13,2101,70,1,2,Midfielder,5.0,0.74,0.15,-0.05000000000000002
Caglar Soyuncu,0.03,0.04,0.0,0.0,2497,66,1,0,Defender,4.5,0.24,0.05,-0.039999999999999994
Patson Daka,0.57,0.47,0.17,0.19,1152,70,5,3,Forward,6.0,2.45,0.41,0.14999999999999997
Liam Cooper,0.0,0.01,0.05,0.01,1814,60,0,2,Defender,4.5,0.09,0.02,-0.06999999999999999
Luke Ayling,0.08,0.06,0.08,0.03,2272,55,2,3,Defender,4.5,0.44999999999999996,0.1,0.010000000000000009
Mateusz Klich,0.04,0.12,0.09,0.1,2071,61,1,2,Midfielder,5.0,0.9,0.18,-0.020000000000000018
Stuart Dallas,0.03,0.06,0.03,0.07,2920,80,1,1,Defender,5.0,0.5700000000000001,0.11,0.020000000000000004
Diego Llorente,0.12,0.05,0.0,0.0,2341,77,3,0,Defender,4.5,0.30000000000000004,0.07,-0.01999999999999999
Raphael Dias Belloli,0.22,0.25,0.09,0.21,2916,145,11,4,Midfielder,7.0,1.88,0.27,0.07
Jack Harrison,0.27,0.14,0.03,0.09,2638,117,8,1,Midfielder,6.0,0.9700000000000001,0.16,-0.04000000000000001
Jordan Henderson,0.08,0.06,0.17,0.13,2592,110,2,5,Midfielder,5.5,0.69,0.13,-0.07
Joel Matip,0.08,0.09,0.08,0.03,2790,170,3,3,Defender,6.0,0.63,0.1,0.010000000000000009
Thiago Alcantara do Nascimento,0.08,0.08,0.17,0.11,1527,69,1,4,Midfielder,5.5,0.73,0.13,-0.07
Roberto Firmino,0.68,0.52,0.27,0.17,980,62,5,4,Forward,8.0,2.59,0.32,0.06
Virgil van Dijk,0.07,0.06,0.05,0.01,3060,183,3,3,Defender,6.5,0.39,0.06,-0.03
Fabio Henrique Tavares,0.11,0.06,0.03,0.06,2311,97,5,1,Midfielder,5.5,0.48,0.09,-0.11000000000000001
Andrew Robertson,0.08,0.05,0.32,0.19,2537,186,3,11,Defender,7.0,0.8700000000000001,0.12,0.03
Trent Alexander-Arnold,0.05,0.08,0.37,0.35,2853,208,2,12,Defender,7.5,1.5299999999999998,0.2,0.11000000000000001
Naby Keita,0.22,0.17,0.16,0.18,1169,65,3,2,Midfielder,5.0,1.3900000000000001,0.28,0.08000000000000002
Kyle Walker,0.04,0.02,0.08,0.05,1755,85,0,2,Defender,5.0,0.27,0.05,-0.039999999999999994
Ilkay Gundogan,0.29,0.35,0.21,0.2,1851,124,8,5,Midfielder,7.5,2.35,0.31,0.10999999999999999
Kevin De Bruyne,0.52,0.25,0.34,0.37,2196,196,15,8,Midfielder,12.0,2.36,0.2,0.0
John Stones,0.05,0.09,0.0,0.01,1117,70,1,0,Defender,5.5,0.5700000000000001,0.1,0.010000000000000009
Riyad Mahrez,0.44,0.37,0.25,0.21,1485,135,11,7,Midfielder,8.0,2.48,0.31,0.10999999999999999
Raheem Sterling,0.46,0.51,0.23,0.2,2121,163,13,7,Midfielder,10.0,3.15,0.32,0.12
Jack Grealish,0.15,0.22,0.15,0.29,1910,86,3,3,Midfielder,7.0,1.97,0.28,0.08000000000000002
Joao Cancelo,0.07,0.11,0.22,0.17,3227,201,1,11,Defender,7.0,1.17,0.17,0.08000000000000002
Nathan Ake,0.22,0.12,0.0,0.04,919,54,2,0,Defender,5.0,0.84,0.17,0.08000000000000002
Aymeric Laporte,0.1,0.12,0.0,0.01,2830,160,4,2,Defender,6.0,0.75,0.12,0.03
Bernardo Veiga de Carvalho e Silva,0.27,0.2,0.17,0.15,2856,155,8,8,Midfielder,7.0,1.45,0.21,0.009999999999999981
Oleksandr Zinchenko,0.0,0.05,0.35,0.19,1044,59,0,4,Defender,5.0,0.8700000000000001,0.17,0.08000000000000002
Phil Foden,0.39,0.4,0.23,0.26,2125,137,9,6,Midfielder,8.0,2.7800000000000002,0.35,0.14999999999999997
Cristiano Ronaldo dos Santos Aveiro,0.61,0.51,0.09,0.12,2454,159,18,3,Forward,10.5,2.4,0.23,-0.03
Raphael Varane,0.04,0.04,0.04,0.01,1829,75,1,1,Defender,5.0,0.27,0.05,-0.039999999999999994
Harry Maguire,0.06,0.07,0.0,0.01,2513,69,1,0,Defender,5.0,0.45000000000000007,0.09,0.0
Frederico Rodrigues de Paula Santos,0.15,0.07,0.15,0.07,2026,93,4,5,Midfielder,5.5,0.56,0.1,-0.1
Alex Telles,0.05,0.02,0.18,0.1,1658,67,0,4,Defender,5.0,0.42000000000000004,0.08,-0.009999999999999995
Marcus Rashford,0.3,0.19,0.12,0.12,1224,63,4,2,Midfielder,6.5,1.31,0.2,0.0
Victor Lindelof,0.0,0.01,0.06,0.02,2353,66,0,2,Defender,4.5,0.12,0.03,-0.06
Scott McTominay,0.03,0.06,0.03,0.06,2386,68,1,2,Midfielder,5.0,0.48,0.1,-0.1
Jadon Sancho,0.16,0.16,0.12,0.17,1894,91,3,4,Midfielder,7.5,1.31,0.17,-0.03
Anthony Elanga,0.19,0.26,0.13,0.12,1208,59,2,3,Midfielder,5.0,1.6600000000000001,0.33,0.13
Jonjo Shelvey,0.09,0.04,0.05,0.04,1981,63,2,1,Midfielder,5.0,0.32,0.06,-0.14
Chris Wood,0.13,0.22,0.0,0.04,2694,91,5,0,Forward,6.0,1.0,0.17,-0.09
Callum Wilson,0.39,0.32,0.0,0.04,1386,75,8,0,Forward,7.5,1.4,0.19,-0.07
Dan Burn,0.04,0.07,0.04,0.0,2461,92,1,1,Defender,4.5,0.42000000000000004,0.09,0.0
Ryan Fraser,0.12,0.17,0.18,0.14,1459,78,2,5,Midfielder,5.5,1.27,0.23,0.03
Emil Krafth,0.0,0.01,0.06,0.04,1636,58,0,1,Defender,4.5,0.18,0.04,-0.049999999999999996
Jacob Murphy,0.06,0.18,0.12,0.13,1457,62,1,4,Midfielder,4.5,1.29,0.29,0.08999999999999997
Fabian Schar,0.08,0.05,0.08,0.03,2158,88,2,2,Defender,4.5,0.39,0.09,0.0
Matt Targett,0.03,0.03,0.03,0.12,2871,101,1,2,Defender,5.0,0.54,0.11,0.020000000000000004
Allan Saint-Maximin,0.16,0.16,0.16,0.19,2804,116,5,7,Midfielder,6.5,1.37,0.21,0.009999999999999981
Miguel Almiron Rejala,0.05,0.11,0.0,0.04,1706,59,1,0,Midfielder,5.0,0.67,0.13,-0.07
Joe Willock,0.09,0.16,0.0,0.05,2037,79,2,3,Midfielder,5.0,0.9500000000000001,0.19,-0.010000000000000009
Bruno Guimaraes Rodriguez Moura,0.16,0.12,0.19,0.19,1031,67,5,1,Midfielder,6.0,1.17,0.19,-0.010000000000000009
Oriol Romeu Vidal,0.06,0.04,0.06,0.09,2890,88,2,2,Midfielder,5.0,0.47000000000000003,0.09,-0.11000000000000001
Nathan Redmond,0.05,0.09,0.25,0.21,1827,79,1,6,Midfielder,5.5,1.08,0.2,0.0
Stuart Armstrong,0.12,0.17,0.0,0.09,1465,57,2,1,Midfielder,5.0,1.12,0.22,0.01999999999999999
Mohamed Elyounoussi,0.18,0.26,0.09,0.11,2039,90,4,3,Midfielder,5.5,1.6300000000000001,0.3,0.09999999999999998
James Ward-Prowse,0.17,0.06,0.14,0.17,3215,159,10,5,Midfielder,6.5,0.81,0.12,-0.08000000000000002
Adam Armstrong,0.13,0.27,0.13,0.11,1409,57,2,3,Forward,5.5,1.4100000000000001,0.26,0.0
Kyle Walker-Peters,0.03,0.03,0.07,0.1,2630,82,1,3,Defender,4.5,0.48000000000000004,0.11,0.020000000000000004
Jan Bednarek,0.14,0.08,0.0,0.02,2629,94,4,0,Defender,4.5,0.54,0.12,0.03
Che Adams,0.31,0.31,0.13,0.11,2034,103,7,4,Forward,6.5,1.57,0.24,-0.020000000000000018
Mohammed Salisu,0.0,0.05,0.0,0.02,2971,58,0,0,Defender,4.5,0.36000000000000004,0.08,-0.009999999999999995
Harry Kane,0.36,0.48,0.25,0.25,3231,192,17,11,Forward,11.5,2.67,0.23,-0.03
Son Heung-min,0.69,0.49,0.21,0.24,3009,258,23,10,Midfielder,12.0,3.17,0.26,0.06
Matt Doherty,0.21,0.26,0.41,0.19,871,67,2,5,Defender,5.0,2.13,0.43,0.33999999999999997
Eric Dier,0.0,0.03,0.0,0.04,3071,132,0,1,Defender,5.0,0.3,0.06,-0.03
Lucas Rodrigues Moura da Silva,0.1,0.19,0.3,0.22,1763,87,2,6,Midfielder,6.0,1.6099999999999999,0.27,0.07
Ben Davies,0.04,0.06,0.04,0.02,2537,105,1,2,Defender,5.0,0.42,0.08,-0.009999999999999995
Davinson Sanchez,0.11,0.12,0.0,0.02,1626,93,2,1,Defender,4.5,0.78,0.17,0.08000000000000002
Ryan Sessegnon,0.0,0.03,0.17,0.25,1046,56,0,3,Defender,4.5,0.9299999999999999,0.21,0.12
Steven Bergwijn,0.48,0.49,0.16,0.11,548,55,3,2,Midfielder,5.5,2.7800000000000002,0.51,0.31
Sergio Reguilon,0.09,0.14,0.14,0.19,1914,104,2,4,Defender,4.5,1.4100000000000001,0.31,0.22
Rodrigo Bentancur,0.0,0.04,0.19,0.09,1360,52,0,4,Midfielder,5.5,0.47000000000000003,0.09,-0.11000000000000001
Cristian Romero,0.05,0.03,0.0,0.02,1844,63,1,0,Defender,5.0,0.24,0.05,-0.039999999999999994
Yves Bissouma,0.04,0.04,0.09,0.03,2110,66,1,2,Midfielder,5.0,0.29000000000000004,0.06,-0.14
Emerson Leite de Souza Junior,0.04,0.06,0.04,0.08,2282,102,1,1,Defender,5.0,0.6,0.12,0.03
Dejan Kulusevski,0.3,0.23,0.47,0.23,1259,99,5,9,Midfielder,8.0,1.8400000000000003,0.23,0.03
Aaron Cresswell,0.05,0.03,0.13,0.12,2726,115,2,4,Defender,5.0,0.54,0.11,0.020000000000000004
Michail Antonio,0.29,0.34,0.24,0.22,2975,140,10,10,Forward,7.5,2.02,0.27,0.010000000000000009
Craig Dawson,0.1,0.1,0.05,0.02,2752,90,2,3,Defender,5.0,0.6600000000000001,0.13,0.04000000000000001
Manuel Lanzini,0.07,0.08,0.11,0.11,1777,92,5,3,Midfielder,5.5,0.73,0.13,-0.07
Kurt Zouma,0.03,0.05,0.03,0.0,2078,66,1,0,Defender,4.5,0.30000000000000004,0.07,-0.01999999999999999
Vladimir Coufal,0.0,0.03,0.18,0.11,2207,70,0,4,Defender,4.5,0.51,0.11,0.020000000000000004
Said Benrahma,0.37,0.22,0.2,0.13,2162,138,8,6,Midfielder,6.0,1.4900000000000002,0.25,0.04999999999999999
Jarrod Bowen,0.38,0.37,0.28,0.15,2987,206,12,17,Midfielder,8.5,2.3,0.27,0.07
Declan Rice,0.09,0.05,0.09,0.06,3178,95,1,4,Midfielder,5.0,0.43,0.09,-0.11000000000000001
Tomas Soucek,0.14,0.14,0.02,0.04,3061,114,5,1,Midfielder,5.5,0.8200000000000001,0.15,-0.05000000000000002
Conor Coady,0.11,0.05,0.0,0.0,3361,138,4,0,Defender,5.0,0.30000000000000004,0.06,-0.03
Leander Dendoncker,0.09,0.12,0.09,0.05,1945,76,2,3,Midfielder,5.0,0.75,0.15,-0.05000000000000002
Ruben da Silva Neves,0.14,0.04,0.07,0.07,2659,95,4,2,Midfielder,5.5,0.41000000000000003,0.07,-0.13
Hwang Hee-chan,0.24,0.2,0.05,0.08,1811,81,5,1,Midfielder,6.0,1.24,0.21,0.009999999999999981
Nelson Cabral Semedo,0.0,0.06,0.04,0.05,2131,94,0,1,Defender,5.0,0.51,0.1,0.010000000000000009
Daniel Castelo Podence,0.12,0.12,0.18,0.23,1475,70,2,3,Midfielder,5.5,1.29,0.23,0.03
Max Kilman,0.03,0.03,0.0,0.0,2688,106,1,1,Defender,4.5,0.18,0.04,-0.049999999999999996
Rayan Ait-Nouri,0.05,0.03,0.1,0.06,1826,87,1,4,Defender,4.5,0.36,0.08,-0.009999999999999995
